([0,15],True)
([11,15],True)
([2,11],True)
([1,2,10],True)
([1,14,15],True)
([6,12,14],True)
([1,5,14],True)
([3,9,15],True)
([2,7,9],True)
([6,9,12],True)
([3,6,13],True)
([1,7,8],True)
([4,8,14],True)
([2,8,9],True)
([6,8,11],True)
([4,12,15],True)
([4,5,10],True)
([0,5,8,15],True)
([5,7,13,14],True)
([0,6,8,9],True)
([1,2,4,9],True)
([0,3,4,5],True)
([1,3,9,15],True)
([2,8,10,14],True)
([0,5,13,14],True)
([4,6,7,8],True)
([0,5,7,13],True)
([6,8,9,13],True)
([0,5,14,15],True)
([0,4,10,12],True)
([1,8,10,11],True)
([3,7,8,15],True)
([0,5,6,13],True)
([0,8,11,13],True)
([0,4,5,14],True)
([7,8,12,15],True)
([0,1,12,15],True)
([0,1,9,14],True)
([1,3,7,15],True)
([1,10,11,15],True)
([0,4,8,11],True)
([0,7,9,13],True)
([7,12,14,15],True)
([3,4,6,11],True)
([3,6,13,14],True)
([3,5,7,8],True)
([2,3,5,10],True)
([1,5,7,12],True)
([0,3,8,10],True)
([4,5,13,14],True)
([2,11,12,14],True)
([3,9,12,13],True)
([0,3,4,6],True)
([4,6,8,14],True)
([1,4,10,12],True)
([2,4,11,13],True)
([4,8,9,11],True)
([2,7,8,9],True)
([0,3,7,13],True)
([1,6,13,14],True)
([2,5,10,14],True)
([10,11,13,15],True)
([7,10,12,15],True)
([1,2,5,10,14],True)
([3,4,5,9,14],True)
([1,4,6,7,15],True)
([1,5,7,8,10],True)
([1,3,6,11,13],True)
([0,6,9,11,15],True)
([1,2,6,10,14],True)
([2,4,7,9,14],True)
([2,4,7,10,12],True)
([4,6,9,14,15],True)
([4,5,7,8,14],True)
([0,1,4,5,9],True)
([4,8,9,10,11],True)
([2,3,4,9,11],True)
([1,3,4,5,8],True)
([0,2,3,6,7],True)
([0,1,3,9,11],True)
([2,6,7,9,11],True)
([1,2,8,11,15],True)
([3,4,9,13,14],True)
([1,4,9,12,13],True)
([1,4,5,6,12],True)
([4,8,12,13,15],True)
([5,6,11,14,15],True)
([0,4,7,9,11],True)
([1,2,8,9,15],True)
([0,2,10,11,15],True)
([1,2,4,6,9],True)
([1,5,9,12,15],True)
([3,6,8,9,13],True)
([4,8,9,11,12],True)
([0,3,8,9,11],True)
([0,2,3,6,8],True)
([0,2,3,6,13],True)
([0,3,6,12,15],True)
([2,4,11,13,15],True)
([2,6,9,12,15],True)
([1,5,10,11,13],True)
([0,1,5,12,15],True)
([5,7,8,11,13],True)
([3,4,9,10,11],True)
([3,7,11,13,15],True)
([0,6,7,11,13],True)
([0,9,11,12,13],True)
([0,1,3,5,11],True)
([6,9,10,12,14],True)
([0,4,7,8,11],True)
([1,2,3,5,10],True)
([1,4,9,12,14],True)
([2,7,8,10,14],True)
([4,7,8,9,11],True)
([0,2,5,6,11],True)
([0,3,5,7,14],True)
([1,2,10,13,14],True)
([2,4,9,10,13],True)
([5,10,11,14,15],True)
([4,6,9,11,12],True)
([1,2,4,8,13],True)
([1,6,9,11,13],True)
([6,9,12,14,15],True)
([0,2,5,8,10],True)
([1,3,5,11,13],True)
([5,6,9,10,13],True)
([1,4,8,10,12],True)
([0,6,8,14,15],True)
([1,3,6,7,15],True)
([1,5,8,9,13],True)
([5,8,11,13,14],True)
([3,4,7,10,12],True)
([3,10,11,12,13],True)
([5,8,10,12,13],True)
([0,4,6,9,12],True)
([0,4,5,9,11],True)
([2,9,10,11,13],True)
([2,3,7,11,14],True)
([0,3,9,10,13],True)
([2,4,5,9,11],True)
([0,6,10,11,13],True)
([1,3,8,13,15],True)
([6,9,11,12,15],True)
([5,7,8,9,12],True)
([5,6,8,12,13],True)
([0,2,7,8,12],True)
([6,7,8,14,15],True)
([4,5,9,10,14],True)
([0,3,9,11,15],True)
([0,1,4,7,12],True)
([0,6,8,12,15],True)
([0,5,8,12,13],True)
([0,3,6,7,10],True)
([0,2,9,14,15],True)
([2,8,9,12,14],True)
([0,8,9,10,15],True)
([0,1,12,13,14],True)
([0,1,5,8,11],True)
([3,6,9,10,14],True)
([0,5,10,13,14],True)
([0,4,7,12,13],True)
([0,5,13,14,15],True)
([1,5,7,11,15],True)
([1,6,9,10,13],True)
([1,2,5,6,7],True)
